key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
left,12.2861,,,left,0.8272,0,0,0,0,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,32,69,1,3,13,4,1,541,3 2,6 9,2,0,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.4746,0,1,1,1,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,50,74,1,4,14,4,2,542,5 0,7 4,3,0,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.4299,0,2,2,2,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,36,61,2,3,23,4,3,543,3 6,6 1,4,0,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,right,0.2486,0,3,3,3,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,55,65,2,1,21,4,4,544,5 5,6 5,1,NA,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.2271,0,4,4,4,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,53,38,4,2,42,4,5,545,5 3,3 8,5,1,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.3636,0,5,5,5,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,60,50,3,2,32,4,6,546,6 0,5 0,4,1,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.3302,0,6,6,6,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,58,30,4,3,43,4,7,547,5 8,3 0,6,NA,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,right,right,0.6281,0,7,7,7,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,57,47,4,2,42,4,8,548,5 7,4 7,5,1,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,0.4665
,,,,left,0.3227,0,8,8,8,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,59,36,3,1,31,4,9,549,5 9,3 6,2,1,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
,,,,left,0.3172,0,9,9,9,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,39,51,1,4,14,4,10,550,3 9,5 1,3,0,s004,001,2022-05-18_16h34.13.951,online_task,2021.2.3,Win32,60.0060006,
