key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.rt
,,space,,left,1.1401,0,10,10,10,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,33,26,3,1,31,4,11,551,3 3,2 6,2,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,16.567
,,,,left,0.6275,0,11,11,11,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,55,32,4,2,42,4,12,552,5 5,3 2,5,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,right,0.5434,0,12,12,12,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,35,59,2,4,24,4,13,553,3 5,5 9,5,0,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,1.0106,0,13,13,13,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,31,71,1,3,13,4,14,554,3 1,7 1,2,0,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,right,1.196,0,14,14,14,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,64,22,3,2,32,4,15,555,6 4,2 2,4,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,1.1139,0,15,15,15,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,60,40,1,3,13,4,16,556,6 0,4 0,2,0,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,0.4511,0,16,16,16,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,56,58,2,3,23,4,17,557,5 6,5 8,4,0,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,0.5718,0,17,17,17,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,45,68,3,4,34,4,18,558,4 5,6 8,6,NA,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,0.6692,0,18,18,18,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,17,64,2,3,23,4,19,559,1 7,6 4,4,0,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,right,0.3902,0,19,19,19,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,38,33,4,3,43,4,20,560,3 8,3 3,6,NA,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,left,0.381,0,20,20,20,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,66,34,4,1,41,4,21,561,6 6,3 4,3,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,right,0.373,0,21,21,21,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,65,34,4,1,41,4,22,562,6 5,3 4,3,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,right,0.6068,0,22,22,22,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,47,37,3,4,34,4,23,563,4 7,3 7,6,NA,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
,,,,,,0,23,23,23,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,53,51,4,1,41,4,24,564,5 3,5 1,3,1,333,001,2023-03-22_20h47.28.312,online_task,2021.2.3,Win32,60.25185274,
